Age,Overall,Potential,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST,Preferred Positions
25,86,89,56000000,205000,2049,88,55,92,92,88,85,77,84,88,74,82,47,30,59,78,86,24,64,83,81,85,80,40,77,80,44,61,87,75,85,49,61,83,79,85,60,49,79,61,83,83,77,84,64,85,60,49,79,61,83,83,77,84,64,77,CAM
28,86,86,45000000,120000,2157,86,49,86,81,85,83,80,90,86,86,84,49,50,72,80,88,30,87,86,87,86,87,46,90,68,36,67,86,88,86,52,64,86,80,86,63,52,80,64,86,84,82,86,67,86,63,52,80,64,86,84,82,86,67,82,LW
28,86,87,40500000,165000,2047,62,81,60,50,70,81,64,63,62,45,69,82,84,81,81,66,89,60,56,86,77,86,85,69,76,90,82,67,38,67,84,81,67,74,67,79,84,74,81,67,67,67,65,77,67,79,84,74,81,67,67,67,65,77,67,CB
30,86,86,33000000,190000,2123,68,86,72,56,79,78,68,70,66,55,76,83,87,80,78,71,80,75,54,79,79,77,84,71,76,85,81,69,64,71,83,81,69,75,71,79,83,75,81,69,70,69,69,78,71,79,83,75,81,69,70,69,69,78,69,CB
28,86,86,46000000,235000,1984,74,93,58,52,83,84,65,62,77,88,59,83,40,64,52,73,28,76,88,86,67,84,34,75,83,39,91,74,81,76,57,60,80,71,76,58,57,71,60,80,76,83,77,60,76,58,57,71,60,80,76,83,77,60,83,ST
29,86,86,42500000,130000,2286,80,88,81,84,85,85,73,73,80,76,68,59,86,76,81,86,78,63,88,87,84,84,88,76,94,86,76,76,75,82,81,84,82,84,82,83,81,84,84,82,82,80,81,84,82,83,81,84,84,82,82,80,81,84,80,CAM
28,86,86,36000000,165000,1973,49,91,54,58,71,83,60,54,62,53,45,90,86,83,74,63,84,52,57,84,75,76,87,50,64,87,84,74,61,67,84,80,66,72,67,76,84,72,80,66,65,67,63,74,67,76,84,72,80,66,65,67,63,74,67,CDM
30,86,86,43000000,135000,2035,93,59,94,92,88,81,77,81,89,85,77,35,36,60,74,81,30,78,85,85,81,80,40,87,75,40,42,82,70,85,47,60,85,78,85,60,47,78,60,85,84,78,86,65,85,60,47,78,60,85,84,78,86,65,78,ST
29,86,86,34500000,110000,1885,71,91,62,68,58,82,47,36,58,44,35,87,80,87,64,48,88,33,50,81,64,79,86,84,74,90,86,52,46,59,84,76,61,63,59,77,84,63,76,61,61,64,59,73,59,77,84,63,76,61,61,64,59,73,64,CB
32,86,86,25500000,115000,1890,67,83,61,57,72,84,48,32,65,43,39,83,88,82,69,41,89,49,43,82,70,70,86,74,65,90,80,58,51,63,84,79,62,67,63,77,84,67,79,62,63,63,61,75,63,77,84,67,79,62,63,63,61,75,63,CB
29,86,86,44500000,295000,1950,77,65,77,60,86,82,75,79,82,87,73,78,22,70,47,77,13,82,87,83,86,83,12,78,73,15,78,85,79,82,44,52,84,72,82,51,44,72,52,84,80,83,83,56,82,51,44,72,52,84,80,83,83,56,83,ST
30,86,86,41000000,210000,2118,65,45,65,77,86,92,85,77,80,76,81,74,50,68,90,75,60,80,78,81,91,77,62,62,80,63,64,91,81,82,64,72,80,83,82,70,64,83,72,80,81,77,80,72,82,70,64,83,72,80,81,77,80,72,77,CAM
34,86,86,22500000,175000,1965,85,52,88,91,90,86,81,83,90,76,81,41,36,34,75,75,13,78,81,86,86,76,26,79,64,25,60,86,80,85,42,57,83,78,85,55,42,78,57,83,83,77,84,61,85,55,42,78,57,83,83,77,84,61,77,LW
34,86,86,13500000,94000,1839,65,94,63,49,62,77,46,44,58,46,47,80,86,76,61,56,86,57,40,83,70,63,87,70,62,86,84,48,23,59,83,76,59,63,59,75,83,63,76,59,59,61,58,72,59,75,83,63,76,59,59,61,58,72,61,CB
23,85,90,51500000,77000,1991,87,61,91,71,86,75,80,81,91,79,78,53,18,68,74,75,19,74,82,83,79,84,26,89,73,39,59,74,68,82,45,56,83,74,82,56,45,74,56,83,83,79,84,60,82,56,45,74,56,83,83,79,84,60,79,RM
24,85,92,46500000,175000,1875,77,77,58,47,77,82,36,46,57,40,54,83,82,80,76,53,84,43,44,81,75,52,85,81,68,86,85,56,42,64,83,79,62,69,64,77,83,69,79,62,63,62,61,73,64,77,83,69,79,62,63,62,61,73,62,CB
25,85,89,42000000,195000,2138,63,87,66,57,78,86,52,59,69,59,74,74,86,87,84,77,83,66,66,83,82,86,86,61,85,87,85,76,53,74,83,84,72,79,74,78,83,79,84,72,71,72,69,77,74,78,83,79,84,72,71,72,69,77,72,CDM
26,85,86,45000000,115000,1949,94,34,96,93,90,78,83,83,88,73,77,56,26,53,73,80,16,61,83,80,83,70,22,86,75,24,44,87,74,85,39,54,83,77,85,55,39,77,54,83,84,76,85,60,85,55,39,77,54,83,84,76,85,60,76,LW
26,85,88,48500000,180000,2063,84,70,87,84,84,86,64,74,85,87,71,72,40,76,59,76,23,84,87,85,79,81,30,87,80,42,79,74,82,81,54,60,83,74,81,59,54,74,60,83,80,83,82,62,81,59,54,74,60,83,80,83,82,62,83,ST
28,85,85,39000000,195000,2148,88,69,89,85,87,79,79,83,87,77,64,53,64,71,72,75,49,72,82,82,84,87,55,84,86,53,63,85,81,84,62,70,83,80,84,70,62,80,70,83,83,79,84,73,84,70,62,80,70,83,83,79,84,73,79,LM
29,85,85,30000000,60000,1612,53,86,34,55,59,79,29,35,51,27,26,85,87,82,59,20,85,39,24,79,63,57,83,58,72,87,90,23,17,47,83,74,48,55,47,72,83,55,74,48,50,52,45,68,47,72,83,55,74,48,50,52,45,68,52,CB
28,85,85,30500000,215000,2206,93,75,90,86,83,75,82,77,80,73,64,63,83,81,70,66,81,59,77,82,79,64,83,93,90,84,60,68,60,78,78,80,78,78,78,83,78,78,80,78,81,75,80,84,78,83,78,78,80,78,81,75,80,84,75,LB
26,85,87,46000000,190000,2148,73,68,83,81,88,86,74,81,87,72,74,49,79,62,83,74,57,76,79,87,88,77,64,70,71,67,74,87,75,84,69,77,81,83,84,73,69,83,77,81,81,76,81,75,84,73,69,83,77,81,81,76,81,75,76,CDM
27,85,87,37500000,160000,2099,78,80,75,73,79,78,78,66,69,46,58,76,85,76,74,60,87,66,62,86,80,68,87,79,88,88,73,68,51,72,83,82,70,76,72,84,83,76,82,70,74,68,71,83,72,84,83,76,82,70,74,68,71,83,68,LB
29,85,85,37500000,145000,2115,86,73,92,79,85,82,85,78,86,74,72,53,38,72,79,77,37,73,82,80,83,83,56,86,78,59,60,81,77,83,58,66,82,78,83,66,58,78,66,82,83,77,83,70,83,66,58,78,66,82,83,77,83,70,77,LW
27,85,86,43500000,160000,2172,74,68,79,79,89,84,80,86,86,61,91,60,74,61,85,82,62,79,70,84,89,78,66,74,78,70,65,88,72,83,70,78,80,83,83,75,70,83,78,80,81,74,80,77,83,75,70,83,78,80,81,74,80,77,74,CDM
31,85,85,33000000,160000,2210,78,78,81,79,85,84,76,78,84,61,78,68,80,68,85,82,72,78,80,86,87,82,80,78,81,78,70,84,76,82,77,81,80,83,82,79,77,83,81,80,81,76,80,80,82,79,77,83,81,80,81,76,80,80,76,CDM
30,85,85,28500000,130000,2079,68,83,62,55,74,81,68,58,69,56,73,81,86,83,74,68,84,68,60,82,79,86,86,66,79,86,81,68,52,70,83,81,70,74,70,80,83,74,81,70,70,70,69,78,70,80,83,74,81,70,70,70,69,78,70,CB
30,85,85,28500000,145000,2172,79,85,76,79,77,82,75,65,73,65,52,73,85,84,79,66,83,56,68,84,84,74,81,78,94,84,78,75,72,76,82,83,75,79,76,82,82,79,83,75,77,73,75,82,76,82,82,79,83,75,77,73,75,82,73,CM
31,85,85,25000000,81000,2134,75,81,74,60,81,88,84,74,77,59,75,68,82,63,77,60,85,65,71,83,78,71,86,82,91,83,74,70,56,75,80,81,74,77,75,83,80,77,81,74,78,72,75,83,75,83,80,77,81,74,78,72,75,83,72,LB
31,85,85,26000000,170000,1913,61,87,60,42,68,81,61,61,63,45,52,84,80,71,66,55,84,63,41,84,72,75,84,64,74,85,88,59,46,62,82,77,62,67,62,76,82,67,77,62,63,63,61,74,62,76,82,67,77,62,63,63,61,74,63,CB
36,85,85,5000000,105000,1750,64,70,51,64,65,82,40,50,64,21,31,72,92,85,65,39,90,60,28,80,65,54,88,76,46,90,87,62,35,58,83,76,55,63,58,75,83,63,76,55,57,53,55,71,58,75,83,63,76,55,57,53,55,71,53,CB
23,84,89,35500000,150000,1890,75,87,63,63,68,74,51,46,63,33,43,81,85,84,56,48,82,46,47,78,72,55,85,80,78,85,85,54,42,61,83,76,61,65,61,77,83,65,76,61,63,60,61,75,61,77,83,65,76,61,63,60,61,75,60,CB
21,84,92,46000000,175000,1998,79,45,78,76,86,82,79,83,83,82,76,50,45,57,81,87,29,62,72,78,86,84,39,77,73,42,61,83,75,82,50,62,81,78,82,60,50,78,62,81,81,77,81,65,82,60,50,78,62,81,81,77,81,65,77,LW
22,84,91,43500000,165000,2012,85,58,88,86,89,84,79,79,91,76,63,51,49,53,78,64,46,64,77,84,84,72,35,78,80,44,54,85,66,83,53,66,82,79,83,63,53,79,66,82,83,75,83,68,83,63,53,79,66,82,83,75,83,68,75,RM
23,84,89,35500000,36000,1919,68,72,49,55,71,74,58,62,55,45,77,85,85,77,78,47,86,35,54,82,73,70,85,70,71,88,84,52,40,62,83,79,62,69,62,78,83,69,79,62,64,64,61,75,62,78,83,69,79,62,64,64,61,75,64,CB
21,84,90,43000000,115000,2122,77,84,74,62,85,86,68,71,83,84,53,75,67,69,76,79,60,68,86,85,83,77,57,76,89,63,71,83,76,83,69,75,83,81,83,72,69,81,75,83,81,81,81,73,83,72,69,81,75,83,81,81,81,73,81,LM
25,84,87,39000000,175000,2046,94,73,89,85,84,78,72,74,86,83,64,53,31,75,71,69,33,71,84,80,77,77,38,92,82,35,72,78,68,81,51,60,82,74,81,60,51,74,60,82,82,79,83,63,81,60,51,74,60,82,82,79,83,63,79,LW
25,84,87,32000000,195000,2039,76,81,82,79,83,74,83,72,76,41,47,65,82,76,71,36,85,45,61,81,81,64,86,86,84,85,75,57,34,70,81,80,69,73,70,83,81,73,80,69,75,65,72,83,70,83,81,73,80,69,75,65,72,83,65,RB
23,84,87,39500000,120000,2017,76,48,81,75,87,81,83,78,88,78,75,65,36,76,77,81,25,63,79,83,84,86,26,79,68,35,67,84,84,83,49,59,83,77,83,57,49,77,59,83,82,80,83,62,83,57,49,77,59,83,82,80,83,62,80,LM
24,84,89,42000000,105000,1866,75,55,74,76,77,82,46,58,74,89,45,84,22,92,54,70,17,78,89,83,73,81,21,80,70,21,74,64,81,75,46,50,79,67,75,49,46,67,50,79,73,82,75,51,75,49,46,67,50,79,73,82,75,51,82,ST
24,84,88,41000000,170000,1862,78,54,62,56,84,79,73,76,83,82,44,79,24,79,51,78,14,72,83,81,78,80,20,86,70,14,82,76,81,79,45,51,81,70,79,51,45,70,51,81,78,82,80,56,79,51,45,70,51,81,78,82,80,56,82,ST
26,84,87,32500000,96000,1610,69,87,50,40,59,78,30,28,54,19,28,79,86,77,48,15,85,33,24,80,59,55,85,76,73,87,93,34,14,48,83,73,49,55,48,74,83,55,73,49,52,51,48,70,48,74,83,55,73,49,52,51,48,70,51,CB
25,84,88,39500000,84000,2129,72,71,77,78,86,75,84,85,80,71,76,61,64,61,85,81,63,59,80,84,86,84,51,69,81,66,75,89,56,82,67,75,80,82,82,71,67,82,75,80,81,77,80,74,82,71,67,82,75,80,81,77,80,74,77,LM
26,84,86,31500000,96000,1638,78,86,68,60,65,75,27,30,54,10,10,80,85,86,61,12,88,26,25,81,60,43,87,81,78,86,84,22,16,49,83,74,48,56,49,76,83,56,74,48,53,49,49,72,49,76,83,56,74,48,53,49,49,72,49,CB
25,84,86,31500000,145000,1942,64,79,66,69,70,74,50,55,53,58,47,81,85,84,69,52,82,54,50,82,77,66,85,69,74,83,81,55,51,64,82,78,63,68,64,76,82,68,78,63,63,65,62,74,64,76,82,68,78,63,63,65,62,74,65,CB
27,84,84,32000000,190000,2213,76,86,84,82,86,84,74,80,81,71,65,60,86,63,80,72,80,79,78,85,86,72,76,70,87,78,70,84,69,81,78,83,79,83,81,80,78,83,83,79,80,75,79,81,81,80,78,83,83,79,80,75,79,81,75,CDM
27,84,85,35000000,105000,2165,65,86,65,68,85,85,74,75,76,68,74,68,84,53,83,78,72,77,78,84,86,85,75,68,82,83,83,84,63,80,79,83,78,83,80,78,79,83,83,78,78,76,77,79,80,78,79,83,83,78,78,76,77,79,76,CDM
29,84,84,30500000,200000,1987,84,56,84,82,87,78,78,81,84,81,57,55,49,67,70,78,30,66,84,84,83,71,31,80,78,32,56,77,70,82,50,61,82,77,82,60,50,77,61,82,82,77,83,65,82,60,50,77,61,82,82,77,83,65,77,LW
33,84,84,18500000,59000,2059,42,79,53,59,83,86,60,72,75,66,77,61,85,66,86,81,70,75,69,84,87,84,85,41,76,84,77,83,48,76,78,82,74,82,76,74,78,82,82,74,72,71,71,75,76,74,78,82,82,74,72,71,71,75,71,CDM
28,84,84,31500000,110000,2078,81,59,78,67,83,80,84,73,83,79,76,78,42,82,72,80,26,76,84,80,78,83,45,87,86,45,75,78,80,80,56,62,81,76,80,64,56,76,62,81,82,81,82,67,80,64,56,76,62,81,82,81,82,67,81,CAM
31,84,84,28000000,115000,1861,67,51,57,36,80,79,63,65,76,87,54,84,50,66,72,73,11,67,89,83,77,86,16,61,70,28,82,70,77,77,49,57,79,73,77,52,49,73,57,79,75,82,76,55,77,52,49,73,57,79,75,82,76,55,82,ST
28,84,84,31500000,200000,2061,91,44,89,81,86,79,77,82,87,77,85,29,55,46,77,81,43,70,80,83,82,71,51,86,87,58,62,83,59,83,55,68,82,80,83,68,55,80,68,82,83,74,83,72,83,68,55,80,68,82,83,74,83,72,74,CAM
30,84,84,29000000,160000,2157,60,82,59,52,81,84,72,68,78,69,68,76,86,68,81,78,76,69,80,86,85,82,78,68,78,82,89,82,76,79,81,82,78,82,79,78,81,82,82,78,77,77,76,79,79,78,81,82,82,78,77,77,76,79,77,CDM
29,84,84,30500000,195000,1982,71,52,85,89,87,85,84,84,82,79,84,59,39,72,77,70,25,81,83,84,86,75,21,63,75,28,43,87,71,82,45,59,81,78,82,55,45,78,59,81,81,76,81,61,82,55,45,78,59,81,81,76,81,61,76,RM
30,84,84,23000000,145000,1764,72,82,59,51,65,78,45,34,64,45,27,80,84,82,65,24,86,41,38,78,65,59,84,76,68,86,89,47,31,58,82,75,58,62,58,75,82,62,75,58,60,60,58,72,58,75,82,62,75,58,60,60,58,72,60,CB
30,84,84,29500000,60000,2076,79,57,79,81,90,86,86,90,89,76,91,59,37,48,84,83,29,76,79,76,86,78,39,72,73,36,76,87,79,84,51,63,82,79,84,60,51,79,63,82,83,78,83,64,84,60,51,79,63,82,83,78,83,64,78,CAM
